player_id,first_name,last_name,position
6736,Sean,Smith,DB
5467,Tigie,Sankoh,SS
3687,Ryan,Brown,DE
2372,AJ,Cann,G
6742,Marquis,Young,RB
1360,Dallas,Thomas,G
3918,TJ,Thorpe,WR
2638,Reggie,Bell,WR
1252,Jeris,Pendleton,DT
5423,Trenton,Scott,OT
2284,Fred,Williams,WR
2541,Dexter,McDonald,CB
1017,Tom,Johnson,DT
6595,Devlin,Hodges,QB
3146,Swayze,Waters,K
1069,Shaun,Prater,FS
2223,Charles,Sims,RB
2193,Darrin,Reaves,RB
3540,Jamaal,Jones,WR
428,Jasper,Brinkley,ILB
962,Mason,Foster,ILB
652,Dwight,Lowery,FS
4834,Rodney,Butler,LB
5051,Donte,Jackson,CB
5125,Damoun,Patterson,WR
1506,Tress,Way,P
3659,Anthony,Lanier,DE
2945,Lee,Ward,RB
2311,Leonard,Williams,DE
2336,Stephone,Anthony,OLB
229,Phil,Dawson,K
1885,Will,Clarke,DE
3596,Kivon,Cartwright,TE
5068,Kerryon,Johnson,RB
991,Jeron,Johnson,SS
4046,Patrick,Mahomes,QB
3846,Duke,Williams,WR
1182,Josh,Norman,CB
565,Tony,Moeaki,TE
1950,James,Ferentz,G
6346,Yurik,Bethune,DE
6401,T.J.,Rahming,WR
2878,Jean,Fanor,FS
4101,Chris,Wormley,DE
708,Frank,Zombo,OLB
416,Jay,Cutler,QB
265,DeAngelo,Hall,FS
6225,Kahzin,Daniels,OLB
2826,Troy,Hill,CB
6622,Jacob,Thieneman,DB
2107,Ego,Ferguson,NT
5085,Christian,Sam,LB
ATL,Atlanta,Falcons,DEF
5676,Kyle,Queiro,ILB
2255,Bruce,Ellington,WR
3061,Lou,Anarumo,NA
3618,Jeff,Schoettmer,ILB
1709,Fozzy,Whittaker,RB
1219,Michael,Floyd,WR
240,Calvin,Johnson,WR
3047,Cyril,Lemon,G
2472,David,Mayo,ILB
3601,Leonard,Wester,OT
1929,Travis,Coons,K
5165,Quinton,Flowers,QB
6129,Jerry,Tillery,DT
210,Wesley,Woodyard,ILB
4550,Hendrick,Ekpe,OLB
2584,Austin,Hill,WR
5827,Tevaughn,Campbell,CB
1320,Ricky,Lumpkin,NT
5285,Ross,Dwelley,TE
3003,Kevin,Snyder,ILB
1890,Dan,France,OT
790,Casey,Matthews,ILB
3132,Dick,Lebeau,NA
2516,Cody,Wichmann,G
2774,Shakim,Phillips,WR
5677,Mo,Porter,OT
1248,Josh,LeRibeus,C
5970,Greg,Dortch,WR
5224,Taj,Williams,WR
2784,Jameill,Showers,QB
3095,Mike,Mularkey,NA
3501,Eric,Striker,OLB
5742,Blaine,Woodson,DE
2625,Jonathon,Mincy,FS
2839,Justin,March,OLB
75,Kendall,Langford,DE
5911,Jalen,Hurd,WR
1370,William,Campbell,G
3613,Ronald,Zamort,CB
4399,Eric,Smith,OT
3308,Matt,Ioannidis,DE
2526,Martin,Ifedi,DE
2171,Freddie,Martino,WR
3743,Morgan,Fox,DE
1526,Datone,Jones,DE
2932,Eric,Frohnapfel,TE
6007,Ryquell,Armstead,RB
2118,Eric,Ebron,TE
3458,Avery,Young,G
4449,Nicholas,Morrow,OLB
6542,Anthony,Rush,DT
2546,Darryl,Roberts,CB
4645,Evan,Schwan,DE
5733,Clayton,Wilson,TE
5299,Greg,Senat,OT
5697,Zach,Olstad,RB
3235,Max,Tuerk,G
2348,Benardrick,McKinney,ILB
3632,Dwayne,Norman,OLB
2201,Khairi,Fortt,OLB
948,Cliff,Matthews,DT
6205,Brandon,Silvers,QB
2776,Tay,Glover-Wright,CB
219,Mario,Williams,DE
650,Nick,Folk,K
5511,Chris,Frey,LB
6183,Andrew,Van Ginkel,OLB
6063,Tyron,Johnson,WR
6194,Rick,Spielman,NA
3104,Paul,Depodesta,NA
160,Paul,Posluszny,ILB
1515,Brandon,Hepburn,ILB
1548,Star,Lotulelei,DT
4164,Michael,Roberts,TE
5703,Deontez,Alexander,WR
2961,David,Andrews,C
354,Michael,Johnson,DE
3373,Will,Parks,FS
4198,Jamal,Agnew,CB
3631,Aaron,Neary,OT
2423,Ramik,Wilson,ILB
2003,Bennie,Fowler,WR
239,Cullen,Jenkins,DE
4429,Dwayne,Thomas,CB
4546,Zach,Voytek,G
2345,Dorial,Green-Beckham,WR
6159,Mike,Weber,RB
658,Mike,Nugent,K
558,Eric,Decker,WR
3948,Andrew,Opoku,WR
1346,Marquise,Goodwin,WR
2724,Brandon,King,LB
5977,Terry,Godwin,WR
2767,Jawon,Chisholm,RB
4962,Sony,Michel,RB
2018,Ben,Gottschalk,C
624,Eugene,Sims,DE
711,Leger,Douzable,DE
838,Phil,Taylor,NT
4434,Brisly,Estime,WR
736,Joique,Bell,RB
1821,Matt,Hazel,WR
TEN,Tennessee,Titans,DEF
2554,Denzelle,Good,G
6739,Cameron,Nizialek,P
1838,Shamiel,Gary,SS
2275,Cassius,Marsh,OLB
3395,Alex,McCalister,DE
